"","Country","Code","Year","Group","value"
"1","World","OWID_WRL",1990,"Death",16.7003
"2","World","OWID_WRL",1990,"ART",311838
"3","World","OWID_WRL",1991,"Death",22.5144
"4","World","OWID_WRL",1991,"ART",393259
"5","World","OWID_WRL",1992,"Death",30.0413
"6","World","OWID_WRL",1992,"ART",486084
"7","World","OWID_WRL",1993,"Death",34.0616
"8","World","OWID_WRL",1993,"ART",590504
"9","World","OWID_WRL",1994,"Death",80.409
"10","World","OWID_WRL",1994,"ART",707015
"11","World","OWID_WRL",1995,"Death",534.193
"12","World","OWID_WRL",1995,"ART",835680
"13","World","OWID_WRL",1996,"Death",13839.6
"14","World","OWID_WRL",1996,"ART",959178
"15","World","OWID_WRL",1997,"Death",38060.9
"16","World","OWID_WRL",1997,"ART",1070000
"17","World","OWID_WRL",1998,"Death",49872.9
"18","World","OWID_WRL",1998,"ART",1210000
"19","World","OWID_WRL",1999,"Death",53480.4
"20","World","OWID_WRL",1999,"ART",1350000
"21","World","OWID_WRL",2000,"Death",51958.8
"22","World","OWID_WRL",2000,"ART",1500000
"23","World","OWID_WRL",2001,"Death",60041.3
"24","World","OWID_WRL",2001,"ART",1630000
"25","World","OWID_WRL",2002,"Death",68829.5
"26","World","OWID_WRL",2002,"ART",1750000
"27","World","OWID_WRL",2003,"Death",81134.2
"28","World","OWID_WRL",2003,"ART",1860000
"29","World","OWID_WRL",2004,"Death",117361
"30","World","OWID_WRL",2004,"ART",1930000
"31","World","OWID_WRL",2005,"Death",201803
"32","World","OWID_WRL",2005,"ART",1940000
"33","World","OWID_WRL",2006,"Death",313766
"34","World","OWID_WRL",2006,"ART",1900000
"35","World","OWID_WRL",2007,"Death",452850
"36","World","OWID_WRL",2007,"ART",1820000
"37","World","OWID_WRL",2008,"Death",609375
"38","World","OWID_WRL",2008,"ART",1700000
"39","World","OWID_WRL",2009,"Death",700109
"40","World","OWID_WRL",2009,"ART",1580000
"41","World","OWID_WRL",2010,"Death",764260
"42","World","OWID_WRL",2010,"ART",1480000
"43","World","OWID_WRL",2011,"Death",861711
"44","World","OWID_WRL",2011,"ART",1390000
"45","World","OWID_WRL",2012,"Death",1e+06
"46","World","OWID_WRL",2012,"ART",1300000
"47","World","OWID_WRL",2013,"Death",1100000
"48","World","OWID_WRL",2013,"ART",1210000
"49","World","OWID_WRL",2014,"Death",1160000
"50","World","OWID_WRL",2014,"ART",1130000
"51","World","OWID_WRL",2015,"Death",1190000
"52","World","OWID_WRL",2015,"ART",1060000
"53","World","OWID_WRL",2016,"Death",1210000
"54","World","OWID_WRL",2016,"ART",1010000
